"","ï..Operator","Station.Unit","Zone","PTID","Town","County","State","In.Service.Date","MW..W.","Sum","Win","Sum.1","Win.1","Dual","Unit.Type","Type.1","Type.2","GWH..W.","Notes","Unit.Type.Expanded","State_Name","County_Name","City"
"240","Erie Blvd.Hydro-Oswegatchie","Eel Weir 3","E",24044,"Heuvelton",89,36,"1/1/1938",1.1,0.8,0.8,1.1,1.1,"","HY","WAT","",4.6,"","Conventional Hydro","New York","St Lawrence","Heuvelton"
"241","Erie Blvd.Hydro-Oswegatchie","Flat Rock 1","E",24044,"Flat Rock",89,36,"1/1/1924",3,2.6,2.6,3,3,"","HY","WAT","",14.1,"","Conventional Hydro","New York","St Lawrence","Flat Rock"
"242","Erie Blvd.Hydro-Oswegatchie","Flat Rock 2","E",24044,"Flat Rock",89,36,"1/1/1924",3,2.6,2.6,3,3,"","HY","WAT","",10.1,"","Conventional Hydro","New York","St Lawrence","Flat Rock"
"243","Erie Blvd.Hydro-Oswegatchie","Heuvelton 1","E",24044,"Heuvelton",89,36,"1/1/1924",0.5,0.4,0.4,0.5,0.5,"","HY","WAT","",2.3,"","Conventional Hydro","New York","St Lawrence","Heuvelton"
"244","Erie Blvd.Hydro-Oswegatchie","Heuvelton 2","E",24044,"Heuvelton",89,36,"1/1/1924",0.5,0.4,0.4,0.5,0.5,"","HY","WAT","",1.7,"","Conventional Hydro","New York","St Lawrence","Heuvelton"
"245","Erie Blvd.Hydro-Oswegatchie","Lower Newton Falls 1","E",24044,"Newton Falls",89,36,"7/1/2002",0.5,0.6,0.6,0.5,0.5,"","HY","WAT","",3.6,"","Conventional Hydro","New York","St Lawrence","Newton Falls"
"246","Erie Blvd.Hydro-Oswegatchie","Oswegatchie 1","E",24044,"Oswegatchie",89,36,"1/1/1937",0.6,1.3,1.3,0.6,0.6,"","HY","WAT","",6.2,"","Conventional Hydro","New York","St Lawrence","Oswegatchie"
"247","Erie Blvd.Hydro-Oswegatchie","Oswegatchie 2","E",24044,"Oswegatchie",89,36,"1/1/1937",0.2,0.5,0.5,0.2,0.2,"","HY","WAT","",5,"","Conventional Hydro","New York","St Lawrence","Oswegatchie"
"248","Erie Blvd.Hydro-Oswegatchie","South Edwards 1","E",24044,"South Edwards ",89,36,"1/1/1937",1,1.2,1.2,1,1,"","HY","WAT","",9.1,"","Conventional Hydro","New York","St Lawrence","South Edwards "
"249","Erie Blvd.Hydro-Oswegatchie","South Edwards 2","E",24044,"South Edwards ",89,36,"1/1/1937",1,1.2,1.2,1,1,"","HY","WAT","",8.2,"","Conventional Hydro","New York","St Lawrence","South Edwards "
"250","Erie Blvd.Hydro-Oswegatchie","South Edwards 3","E",24044,"South Edwards ",89,36,"1/1/1921",0.7,0.8,0.8,0.7,0.7,"","HY","WAT","",5.6,"","Conventional Hydro","New York","St Lawrence","South Edwards "
"251","Erie Blvd.Hydro-Oswegatchie","South Edwards 4","E",24044,"South Edwards ",89,36,"1/1/1937",0.2,0.2,0.2,0.2,0.2,"","HY","WAT","",2.2,"","Conventional Hydro","New York","St Lawrence","South Edwards "
"252","Erie Blvd.Hydro-Oswegatchie","Talcville 1","E",24044,"Edwards",89,36,"12/1/1986",0.5,0.4,0.4,0.5,0.5,"","HY","WAT","",5.5,"","Conventional Hydro","New York","St Lawrence","Edwards"
"253","Erie Blvd.Hydro-Oswegatchie","Talcville 2","E",24044,"Edwards",89,36,"12/1/1986",0.5,0.4,0.4,0.5,0.5,"","HY","WAT","",0.4,"","Conventional Hydro","New York","St Lawrence","Edwards"
"254","Erie Blvd.Hydro-Oswegatchie","Upper Newton Falls 2","E",24044,"Newton Falls",89,36,"7/1/2002",0.5,0.4,0.4,0.5,0.5,"","HY","WAT","",4.3,"","Conventional Hydro","New York","St Lawrence","Newton Falls"
"255","Erie Blvd.Hydro-Oswegatchie","Upper Newton Falls 3","E",24044,"Newton Falls",89,36,"7/1/2002",0.5,0.4,0.4,0.5,0.5,"","HY","WAT","",3.9,"","Conventional Hydro","New York","St Lawrence","Newton Falls"
"256","Erie Blvd.Hydro-Oswegatchie","Upper Newton Falls 4","E",24044,"Newton Falls",89,36,"7/1/2002",0.5,0.4,0.4,0.5,0.5,"","HY","WAT","",1.5,"","Conventional Hydro","New York","St Lawrence","Newton Falls"
"257","Erie Blvd.Hydro-Seneca Oswego","Baldwinsville 1","C",24041,"Baldwinsville",67,36,"1/1/1927",0.3,0.2,0.2,0.3,0.3,"","HY","WAT","",2.1,"","Conventional Hydro","New York","Onondaga","Baldwinsville"
"258","Erie Blvd.Hydro-Seneca Oswego","Baldwinsville 2","C",24041,"Baldwinsville",67,36,"1/1/1927",0.3,0.2,0.2,0.3,0.3,"","HY","WAT","",0.9,"","Conventional Hydro","New York","Onondaga","Baldwinsville"
"259","Erie Blvd.Hydro-Seneca Oswego","Fulton 1","C",24041,"Fulton",75,36,"1/1/1924",0.8,0.8,0.8,0.8,0.8,"","HY","WAT","",0,"4,D","Conventional Hydro","New York","Oswego","Fulton"
"260","Erie Blvd.Hydro-Seneca Oswego","Fulton 2","C",24041,"Fulton",75,36,"1/1/1928",0.5,0.4,0.4,0.5,0.5,"","HY","WAT","",0,"5,D","Conventional Hydro","New York","Oswego","Fulton"
"261","Erie Blvd.Hydro-Seneca Oswego","Granby 1","C",24041,"Granby",75,36,"5/1/1983",5,5.1,5.1,5.2,5.2,"","HY","WAT","",25.5,"","Conventional Hydro","New York","Oswego","Granby"
"262","Erie Blvd.Hydro-Seneca Oswego","Granby 2","C",24041,"Granby",75,36,"5/1/1983",5,5.1,5.1,5.2,5.2,"","HY","WAT","",26.5,"","Conventional Hydro","New York","Oswego","Granby"
"263","Erie Blvd.Hydro-Seneca Oswego","Minetto 2","C",24041,"Minetto",75,36,"1/1/1915",1.6,1.5,1.5,1.7,1.7,"","HY","WAT","",8.6,"","Conventional Hydro","New York","Oswego","Minetto"
"264","Erie Blvd.Hydro-Seneca Oswego","Minetto 3","C",24041,"Minetto",75,36,"1/1/1915",1.6,1.5,1.5,1.7,1.7,"","HY","WAT","",8.7,"","Conventional Hydro","New York","Oswego","Minetto"
"265","Erie Blvd.Hydro-Seneca Oswego","Minetto 4","C",24041,"Minetto",75,36,"1/1/1915",1.6,1.5,1.5,1.7,1.7,"","HY","WAT","",7,"","Conventional Hydro","New York","Oswego","Minetto"
"266","Erie Blvd.Hydro-Seneca Oswego","Minetto 5","C",24041,"Minetto",75,36,"1/1/1975",1.6,1.5,1.5,1.7,1.7,"","HY","WAT","",6.5,"","Conventional Hydro","New York","Oswego","Minetto"
"267","Erie Blvd.Hydro-Seneca Oswego","Minetto 6","C",24041,"Minetto",75,36,"1/1/1975",1.6,1.5,1.5,1.7,1.7,"","HY","WAT","",7.2,"","Conventional Hydro","New York","Oswego","Minetto"
"268","Erie Blvd.Hydro-Seneca Oswego","Oswego Falls E 1","C",24041,"Oswego",75,36,"1/1/1914",1.5,1.5,1.5,1.6,1.6,"","HY","WAT","",9.1,"","Conventional Hydro","New York","Oswego","Oswego"
"269","Erie Blvd.Hydro-Seneca Oswego","Oswego Falls E 2","C",24041,"Oswego",75,36,"1/1/1914",1.5,1.5,1.5,1.6,1.6,"","HY","WAT","",8.7,"","Conventional Hydro","New York","Oswego","Oswego"
"270","Erie Blvd.Hydro-Seneca Oswego","Oswego Falls E 3","C",24041,"Oswego",75,36,"1/1/1914",1.5,1.5,1.5,1.6,1.6,"","HY","WAT","",10,"","Conventional Hydro","New York","Oswego","Oswego"
"271","Erie Blvd.Hydro-Seneca Oswego","Oswego Falls W 4","C",24041,"Oswego",75,36,"1/1/1914",0.9,1,1,0.9,0.9,"","HY","WAT","",5.1,"","Conventional Hydro","New York","Oswego","Oswego"
"272","Erie Blvd.Hydro-Seneca Oswego","Oswego Falls W 5","C",24041,"Oswego",75,36,"1/1/1914",0.9,1,1,0.9,0.9,"","HY","WAT","",4.8,"","Conventional Hydro","New York","Oswego","Oswego"
"273","Erie Blvd.Hydro-Seneca Oswego","Oswego Falls W 6","C",24041,"Oswego",75,36,"1/1/2007",0.5,0.5,0.5,0.5,0.5,"","HY","WAT","",1.4,"","Conventional Hydro","New York","Oswego","Oswego"
"274","Erie Blvd.Hydro-Seneca Oswego","Oswego Falls W 7","C",24041,"Oswego",75,36,"1/1/2007",0.5,0.5,0.5,0.5,0.5,"","HY","WAT","",1.1,"","Conventional Hydro","New York","Oswego","Oswego"
"275","Erie Blvd.Hydro-Seneca Oswego","Varick 2","C",24041,"Oswego",75,36,"1/1/1926",2.2,1.9,1.9,2.3,2.3,"","HY","WAT","",8.9,"","Conventional Hydro","New York","Oswego","Oswego"
"276","Erie Blvd.Hydro-Seneca Oswego","Varick 3","C",24041,"Oswego",75,36,"1/1/1926",2.2,2.1,2.1,2.3,2.3,"","HY","WAT","",6.6,"","Conventional Hydro","New York","Oswego","Oswego"
"277","Erie Blvd.Hydro-Seneca Oswego","Varick 4","C",24041,"Oswego",75,36,"1/1/1926",2.2,1.9,1.9,2.3,2.3,"","HY","WAT","",5.9,"","Conventional Hydro","New York","Oswego","Oswego"
"278","Erie Blvd.Hydro-Seneca Oswego","Varick 5","C",24041,"Oswego",75,36,"1/1/1926",2.2,1.9,1.9,2.3,2.3,"","HY","WAT","",8.7,"","Conventional Hydro","New York","Oswego","Oswego"
"279","Erie Blvd.Hydro-South Salmon","Bennets Bridge 1","C",24043,"Altmar",75,36,"1/1/1964",6.4,7,7,6.4,6.4,"","HY","WAT","",11.5,"","Conventional Hydro","New York","Oswego","Altmar"
"280","Erie Blvd.Hydro-South Salmon","Bennets Bridge 2","C",24043,"Altmar",75,36,"1/1/1966",6.4,7,7,6.4,6.4,"","HY","WAT","",18.8,"","Conventional Hydro","New York","Oswego","Altmar"
"281","Erie Blvd.Hydro-South Salmon","Bennets Bridge 3","C",24043,"Altmar",75,36,"1/1/1970",7,7.7,7.7,7,7,"","HY","WAT","",38,"","Conventional Hydro","New York","Oswego","Altmar"
"282","Erie Blvd.Hydro-South Salmon","Bennets Bridge 4","C",24043,"Altmar",75,36,"1/1/1970",7,7.7,7.7,7,7,"","HY","WAT","",45.7,"","Conventional Hydro","New York","Oswego","Altmar"
"283","Erie Blvd.Hydro-South Salmon","Lighthouse Hill 1","C",24043,"Altmar",75,36,"1/1/1930",3.8,4.1,4.1,3.8,3.8,"","HY","WAT","",18.1,"","Conventional Hydro","New York","Oswego","Altmar"
"284","Erie Blvd.Hydro-South Salmon","Lighthouse Hill 2","C",24043,"Altmar",75,36,"1/1/1930",3.8,4.1,4.1,3.8,3.8,"","HY","WAT","",11.2,"","Conventional Hydro","New York","Oswego","Altmar"
"285","Erie Blvd.Hydro-Upper Hudson","E J West 1","F",24058,"Hadley",91,36,"1/1/1930",10,11.9,11.9,10,10,"","HY","WAT","",36.7,"","Conventional Hydro","New York","Saratoga","Hadley"
"286","Erie Blvd.Hydro-Upper Hudson","E J West 2","F",24058,"Hadley",91,36,"1/1/1930",10,11.9,11.9,10,10,"","HY","WAT","",41,"","Conventional Hydro","New York","Saratoga","Hadley"
"287","Erie Blvd.Hydro-Upper Hudson","Feeder Dam 1","F",24058,"S Glenn Falls",91,36,"1/1/1924",1.2,0.9,0.9,1.2,1.2,"","HY","WAT","",6.5,"","Conventional Hydro","New York","Saratoga","S Glenn Falls"
"288","Erie Blvd.Hydro-Upper Hudson","Feeder Dam 2","F",24058,"S Glenn Falls",91,36,"1/1/1924",1.2,0.9,0.9,1.2,1.2,"","HY","WAT","",6.1,"","Conventional Hydro","New York","Saratoga","S Glenn Falls"
"289","Erie Blvd.Hydro-Upper Hudson","Feeder Dam 3","F",24058,"S Glenn Falls",91,36,"1/1/1924",1.2,0.9,0.9,1.2,1.2,"","HY","WAT","",5.9,"","Conventional Hydro","New York","Saratoga","S Glenn Falls"
"290","Erie Blvd.Hydro-Upper Hudson","Feeder Dam 4","F",24058,"S Glenn Falls",91,36,"1/1/1924",1.2,0.9,0.9,1.2,1.2,"","HY","WAT","",7.5,"","Conventional Hydro","New York","Saratoga","S Glenn Falls"
"291","Erie Blvd.Hydro-Upper Hudson","Feeder Dam 5","F",24058,"S Glenn Falls",91,36,"1/1/1924",1.2,0.9,0.9,1.2,1.2,"","HY","WAT","",3.7,"","Conventional Hydro","New York","Saratoga","S Glenn Falls"
"292","Erie Blvd.Hydro-Upper Hudson","Sherman Island 1","F",24058,"Queensbury",113,36,"3/1/2009",8,0,0,0,0,"","HY","WAT","",37.2,"","Conventional Hydro","New York","Warren","Queensbury"
"293","Erie Blvd.Hydro-Upper Hudson","Sherman Island 2","F",24058,"Queensbury",113,36,"1/1/1923",7.2,8.1,8.1,7.2,7.2,"","HY","WAT","",43.2,"","Conventional Hydro","New York","Warren","Queensbury"
"294","Erie Blvd.Hydro-Upper Hudson","Sherman Island 3","F",24058,"Queensbury",113,36,"1/1/1923",8.7,9.7,9.7,8.7,8.7,"","HY","WAT","",47.6,"","Conventional Hydro","New York","Warren","Queensbury"
"295","Erie Blvd.Hydro-Upper Hudson","Sherman Island 4","F",24058,"Queensbury",113,36,"1/1/1923",7.2,8.1,8.1,7.2,7.2,"","HY","WAT","",39.6,"","Conventional Hydro","New York","Warren","Queensbury"
"296","Erie Blvd.Hydro-Upper Hudson","Sherman Island 5","F",24058,"Queensbury",113,36,"1/1/1923",7.2,8.1,8.1,7.2,7.2,"","HY","WAT","",29.5,"","Conventional Hydro","New York","Warren","Queensbury"
"297","Erie Blvd.Hydro-Upper Hudson","Sherman Island 6","F",24058,"Queensbury",113,36,"2/2/2009",1.3,0,0,0,0,"","HY","WAT","",9.1,"","Conventional Hydro","New York","Warren","Queensbury"
"298","Erie Blvd.Hydro-Upper Hudson","Spier Falls 1","F",24058,"Moreau",91,36,"1/1/1924",6.8,8.4,8.4,6.8,6.8,"","HY","WAT","",43.8,"","Conventional Hydro","New York","Saratoga","Moreau"
"299","Erie Blvd.Hydro-Upper Hudson","Spier Falls 2","F",24058,"Moreau",91,36,"1/1/1930",37.6,46.9,46.9,37.6,37.6,"","HY","WAT","",219.4,"","Conventional Hydro","New York","Saratoga","Moreau"
"300","Erie Blvd.Hydro-Upper Hudson","Stewarts Bridge 1","F",24058,"Hadley",91,36,"1/1/1952",30,35.8,35.8,30,30,"","HY","WAT","",138.2,"","Conventional Hydro","New York","Saratoga","Hadley"
"301","Erie Blvd.Hydro-Upper Hudson","Stewarts Bridge 2","F",24058,"Hadley",91,36,"6/1/2013",2.5,0,0,0,0,"","HY","WAT","",20.6,"","Conventional Hydro","New York","Saratoga","Hadley"
"302","Erie Blvd.Hydro-Upper Raquette","Blake","E",24056,"Stark",89,36,"1/1/1957",14.4,15.6,15.6,14.4,14.4,"","HY","WAT","",75.9,"","Conventional Hydro","New York","St Lawrence","Stark"
"303","Erie Blvd.Hydro-Upper Raquette","Five Falls","E",24056,"Colton",89,36,"1/1/1955",22.5,24.4,24.4,22.5,22.5,"","HY","WAT","",118,"","Conventional Hydro","New York","St Lawrence","Colton"
"304","Erie Blvd.Hydro-Upper Raquette","Rainbow Falls","E",24056,"Colton",89,36,"1/1/1956",22.5,24.4,24.4,22.5,22.5,"","HY","WAT","",125.9,"","Conventional Hydro","New York","St Lawrence","Colton"
"305","Erie Blvd.Hydro-Upper Raquette","South Colton","E",24056,"South Colton",89,36,"1/1/1954",19.4,20.9,20.9,19.4,19.4,"","HY","WAT","",104.2,"","Conventional Hydro","New York","St Lawrence","South Colton"
"306","Erie Blvd.Hydro-Upper Raquette","Stark","E",24056,"Stark",89,36,"1/1/1957",22.5,24.6,24.6,22.5,22.5,"","HY","WAT","",116.9,"","Conventional Hydro","New York","St Lawrence","Stark"
"307","Erie Blvd.Hydro-West Canada","Prospect","E",24049,"Prospect",43,36,"1/1/1959",17.3,21.7,21.7,17.3,17.3,"","HY","WAT","",88.1,"","Conventional Hydro","New York","Herkimer","Prospect"
"308","Erie Blvd.Hydro-West Canada","Trenton Falls 5","E",24049,"Trenton",65,36,"1/1/1919",6.8,9.6,9.6,6.8,6.8,"","HY","WAT","",54.3,"","Conventional Hydro","New York",NA,"Trenton"
"309","Erie Blvd.Hydro-West Canada","Trenton Falls 6","E",24049,"Trenton",65,36,"1/1/1919",6.4,9.1,9.1,6.4,6.4,"","HY","WAT","",54,"","Conventional Hydro","New York",NA,"Trenton"
"310","Erie Blvd.Hydro-West Canada","Trenton Falls 7","E",24049,"Trenton",65,36,"1/1/1922",6.4,9.1,9.1,6.4,6.4,"","HY","WAT","",40.8,"","Conventional Hydro","New York",NA,"Trenton"
"311","Erie Blvd.Hydropower LP","West Delaware Hydro","G",323627,"Grahamsville",105,36,"12/1/1988",7.5,7.5,7.5,7.5,7.5,"","HY","WAT","",28.9,"","Conventional Hydro","New York","Sullivan","Grahamsville"
"312","Erie Wind LLC","Erie Wind","A",323693,"Lackawanna",29,36,"2/1/2012",15,0,0,0,0,"","WT","WND","",36.8,"","Wind Turbine","New York","Erie","Lackawanna"
"313","Exelon Generation Co LLC","Chaffee","A",323603,"Chaffee",29,36,"8/9/2007",6.4,6.4,6.4,6.4,6.4,"","IC","MTE","",50.7,"","Internal Combustion","New York","Erie","Chaffee"
"314","Exelon Generation Co LLC","High Acres 1","C",23767,"Fairport",117,36,"6/1/1991",3.2,3.2,3.2,3.2,3.2,"","IC","MTE","",24.3,"","Internal Combustion","New York","Wayne","Fairport"
"315","Exelon Generation Co LLC","High Acres 2","C",23767,"Fairport",117,36,"2/28/2008",6.4,6.4,6.4,6.4,6.4,"","IC","MTE","",48.2,"","Internal Combustion","New York","Wayne","Fairport"
"316","Exelon Generation Co LLC","James A. FitzPatrick","C",23598,"Scriba",75,36,"7/1/1975",882,858.9,858.9,848.1,850.3,"","NB","UR","",6174.3,"","Steam (BWR Nuclear)","New York","Oswego","Scriba"
"317","Exelon Generation Co LLC","Madison County LF","E",323628,"Wampsville",53,36,"3/1/2010",1.6,1.6,1.6,1.6,1.6,"","IC","MTE","",5.4,"","Internal Combustion","New York","Madison","Wampsville"
"318","Exelon Generation Co LLC","Mill Seat","B",323607,"Riga",55,36,"7/20/2007",6.4,6.4,6.4,6.4,6.4,"","IC","MTE","",52.5,"","Internal Combustion","New York","Monroe","Riga"
"319","Exelon Generation Co LLC","Monroe Livingston","B",24207,"Scottsville",55,36,"11/1/1988",2.4,2.4,2.4,2.4,2.4,"","IC","MTE","",7.6,"","Internal Combustion","New York","Monroe","Scottsville"
"320","Exelon Generation Co LLC","Oneida-Herkimer LFGE","E",323681,"Boonville",65,36,"4/1/2012",3.2,3.2,3.2,3.2,3.2,"","IC","MTE","",25.7,"","Internal Combustion","New York",NA,"Boonville"
"321","Exelon Generation Co LLC","Synergy Biogas","B",323694,"Wyoming",121,36,"9/1/2012",2,2,2,0,0,"","IC","MTE","",5,"","Internal Combustion","New York","Wyoming","Wyoming"
"322","Flat Rock Windpower II, LLC","Maple Ridge Wind 2","E",323611,"Lowville",49,36,"12/1/2007",90.8,90.7,90.7,90.8,90.8,"","WT","WND","",218.6,"","Wind Turbine","New York","Lewis","Lowville"
"323","Flat Rock Windpower II, LLC","Maple Ridge Wind 1","E",323574,"Lowville",49,36,"1/1/2006",231,231,231,231,231,"","WT","WND","",570.5,"","Wind Turbine","New York","Lewis","Lowville"
"324","Freeport Electric","Freeport 1-2","K",1660,"Freeport",59,36,"8/1/1949",2.9,2,2,2.3,3,"","IC","FO2","",0,"","Internal Combustion","New York","Nassau","Freeport"
"325","Freeport Electric","Freeport 1-3","K",1660,"Freeport",59,36,"8/1/1954",3.1,2.1,2.1,2.5,3.2,"","IC","FO2","",0,"","Internal Combustion","New York","Nassau","Freeport"
"326","Freeport Electric","Freeport 2-3","K",1660,"Freeport",59,36,"10/1/1964",5.1,4.4,4.4,4,5.2,"","IC","FO2","",0.1,"","Internal Combustion","New York","Nassau","Freeport"
"327","Freeport Electric","Freeport 1-5","K",1660,"Freeport",59,36,"5/1/1973",18.1,18.1,18.1,12.7,18.5,"","GT","KER","",0.1,"","Combustion Turbine","New York","Nassau","Freeport"
"328","Freeport Electric","Freeport CT 2","K",23818,"Freeport",59,36,"3/1/2004",60.5,50.3,50.3,48.2,50.2,"","GT","NG","KER",39.2,"","Combustion Turbine","New York","Nassau","Freeport"
"329","GenOn Energy Management LLC","Bowline 1","G",23526,"West Haverstraw",87,36,"9/1/1972",621,577.7,577.7,572.6,570.7,"YES","ST","NG","FO6",979.9,"","Steam Turbine (Fossil)","New York","Rockland","West Haverstraw"
"330","GenOn Energy Management LLC","Bowline 2","G",23595,"West Haverstraw",87,36,"5/1/1974",621,567.4,567.4,558.1,566.4,"YES","ST","NG","FO6",226.4,"","Steam Turbine (Fossil)","New York","Rockland","West Haverstraw"
"331","Hardscrabble Wind Power LLC","Hardscrabble Wind","E",323673,"Fairfield",43,36,"2/1/2011",74,74,74,74,74,"","WT","WND","",177.6,"","Wind Turbine","New York","Herkimer","Fairfield"
"332","Helix Ravenswood LLC","Ravenswood 1","J",23729,"Queens",81,36,"7/1/1967",18.6,8.8,11.5,8.7,11.4,"","GT","NG","",0.4,"","Combustion Turbine","New York","Queens","Queens"
"333","Helix Ravenswood LLC","Ravenswood 9","J",24257,"Queens",81,36,"7/1/1970",25,21.7,27.6,0,0,"YES","JE","KER","NG",0.2,"6,I","Jet Engine","New York","Queens","Queens"
"334","Helix Ravenswood LLC","Ravenswood 10","J",24258,"Queens",81,36,"8/1/1970",25,21.2,27,19.2,22.2,"YES","JE","KER","NG",2.4,"","Jet Engine","New York","Queens","Queens"
"335","Helix Ravenswood LLC","Ravenswood 11","J",24259,"Queens",81,36,"8/1/1970",25,20.2,25.7,17.7,23.1,"YES","JE","KER","NG",2.5,"","Jet Engine","New York","Queens","Queens"
"336","Helix Ravenswood LLC","Ravenswood 2-1","J",24244,"Queens",81,36,"12/1/1970",42.9,40.4,51.4,30.6,41.7,"YES","JE","NG","KER",2.2,"7,I","Jet Engine","New York","Queens","Queens"
"337","Helix Ravenswood LLC","Ravenswood 2-2","J",24245,"Queens",81,36,"12/1/1970",42.9,37.6,47.8,32,41.9,"YES","JE","NG","KER",2.3,"7,I","Jet Engine","New York","Queens","Queens"
"338","Helix Ravenswood LLC","Ravenswood 2-3","J",24246,"Queens",81,36,"12/1/1970",42.9,39.2,49.9,30.7,37.3,"YES","JE","NG","KER",2,"7,I","Jet Engine","New York","Queens","Queens"
"339","Helix Ravenswood LLC","Ravenswood 2-4","J",24247,"Queens",81,36,"12/1/1970",42.9,39.8,50.6,30.9,41.6,"YES","JE","NG","KER",2.6,"7,I","Jet Engine","New York","Queens","Queens"
"340","Helix Ravenswood LLC","Ravenswood 3-1","J",24248,"Queens",81,36,"8/1/1970",42.9,40.5,51.5,30.7,40.8,"YES","JE","NG","KER",1.5,"7,I","Jet Engine","New York","Queens","Queens"
"341","Helix Ravenswood LLC","Ravenswood 3-2","J",24249,"Queens",81,36,"8/1/1970",42.9,38.1,48.5,29.7,40.3,"YES","JE","NG","KER",2.2,"7,I","Jet Engine","New York","Queens","Queens"
"342","Helix Ravenswood LLC","Ravenswood 3-4","J",24251,"Queens",81,36,"8/1/1970",42.9,35.8,45.5,29.8,40.8,"YES","JE","NG","KER",2.6,"7,I","Jet Engine","New York","Queens","Queens"
"343","Helix Ravenswood LLC","Ravenswood CC 4","J",23820,"Queens",81,36,"5/1/2004",250,231.2,276.7,219.2,277.3,"YES","CC","NG","FO2",1404.9,"","Combined Cycle","New York","Queens","Queens"
"344","Helix Ravenswood LLC","Ravenswood ST 1","J",23533,"Queens",81,36,"2/1/1963",400,365.1,365.1,368,368,"YES","ST","FO6","NG",532.7,"","Steam Turbine (Fossil)","New York","Queens","Queens"
"345","Helix Ravenswood LLC","Ravenswood ST 2","J",23534,"Queens",81,36,"5/1/1963",400,391.6,391.6,372.5,375,"YES","ST","FO6","NG",601.4,"","Steam Turbine (Fossil)","New York","Queens","Queens"
"346","Helix Ravenswood LLC","Ravenswood ST 3","J",23535,"Queens",81,36,"6/1/1965",1027,986.8,986.8,973,974.2,"YES","ST","FO6","NG",440.3,"","Steam Turbine (Fossil)","New York","Queens","Queens"
"347","Howard Wind LLC","Howard Wind","C",323690,"Howard",101,36,"12/1/2011",55.4,57.4,57.4,55.4,55.4,"","WT","WND","",133.9,"","Wind Turbine","New York","Steuben","Howard"
"348","Indeck Energy Services of Silver Springs","Indeck-Silver Springs","C",23768,"Silver Springs",121,36,"4/1/1991",56.6,51.5,66.1,49.1,62.5,"YES","CC","NG","FO2",54.6,"","Combined Cycle","New York","Wyoming","Silver Springs"
"349","Indeck-Corinth LP","Indeck-Corinth","F",23802,"Corinth",91,36,"7/1/1995",147,131.2,134,130.6,134.7,"YES","CC","NG","FO2",665.3,"","Combined Cycle","New York","Saratoga","Corinth"
"350","Indeck-Olean LP","Indeck-Olean","A",23982,"Olean",9,36,"12/1/1993",90.6,79.4,88.5,78.7,87.8,"YES","CC","NG","FO2",83.1,"","Combined Cycle","New York","Cattaraugus","Olean"
"351","Indeck-Oswego LP","Indeck-Oswego","C",23783,"Oswego",75,36,"5/1/1990",57.4,51.6,66.7,48.9,61.4,"YES","CC","NG","FO2",55.8,"","Combined Cycle","New York","Oswego","Oswego"
"352","Indeck-Yerkes","Indeck-Yerkes","A",23781,"Tonawanda",29,36,"2/1/1990",59.9,49.7,60.5,47.7,56.7,"YES","CC","NG","FO2",48.8,"","Combined Cycle","New York","Erie","Tonawanda"
"353","Innovative Energy Systems Inc","Auburn LFG","C",323710,"Auburn",11,36,"1/1/2010",2.1,0,0,0,0,"","IC","MTE","",0,"8,R","Internal Combustion","New York","Cayuga","Auburn"
"354","Innovative Energy Systems Inc","Chautauqua LFGE","A",323629,"Jamestown",13,36,"2/12/2010",9.6,0,0,0,0,"","IC","MTE","",42.6,"","Internal Combustion","New York","Chautauqua","Jamestown"
"355","Innovative Energy Systems Inc","Clinton LFGE","D",323618,"Morrisonville",19,36,"10/1/2008",6.4,6.4,6.4,6.4,6.4,"","IC","MTE","",30.8,"","Internal Combustion","New York","Clinton","Morrisonville"
"356","Innovative Energy Systems Inc","Colonie LFGTE","F",323577,"Colonie",1,36,"3/1/2006",6.4,6.4,6.4,6.4,6.4,"","IC","MTE","",35.2,"","Internal Combustion","New York","Albany","Colonie"
"357","Innovative Energy Systems Inc","DANC LFGE","E",323619,"Watertown",45,36,"9/8/2008",6.4,6.4,6.4,6.4,6.4,"","IC","MTE","",29.7,"","Internal Combustion","New York","Jefferson","Watertown"
"358","Innovative Energy Systems Inc","Fulton LFGE","F",323630,"Johnstown",35,36,"6/4/2010",3.2,0,0,0,0,"","IC","MTE","",12.6,"","Internal Combustion","New York","Fulton","Johnstown"
"359","Innovative Energy Systems Inc","Hyland LFGE","B",323620,"Angelica",3,36,"9/8/2008",4.8,4.8,4.8,4.8,4.8,"","IC","MTE","",38.1,"","Internal Combustion","New York","Allegany","Angelica"
"360","Innovative Energy Systems Inc","Steuben County LF","C",323667,"Bath",101,36,"8/1/2012",3.2,3.2,3.2,3.2,3.2,"","IC","MTE","",15.6,"","Internal Combustion","New York","Steuben","Bath"
"361","Jamestown Board of Public Utilities","Jamestown 5","A",1658,"Jamestown",13,36,"8/1/1951",28.7,23,23,22,21.4,"","ST","NG","BIT",17.4,"","Steam Turbine (Fossil)","New York","Chautauqua","Jamestown"
"362","Jamestown Board of Public Utilities","Jamestown 6","A",1658,"Jamestown",13,36,"8/1/1968",25,22.4,22.4,19.1,18.6,"","ST","NG","BIT",17.1,"","Steam Turbine (Fossil)","New York","Chautauqua","Jamestown"
"363","Jamestown Board of Public Utilities","Jamestown 7","A",1659,"Jamestown",13,36,"1/1/2002",47.3,40,40,39,45.2,"","GT","NG","",121.3,"","Combustion Turbine","New York","Chautauqua","Jamestown"
